AGE;GNDR;ADMIT;COLLEGE;STUDENT_MAJOR;DIPLOMA_DESCRIPTION;STUDENT_LEVEL;SCHOOL;SCHOOL_CITY;CITIZENSHIP
29;F;Fall 2010-2011;Business Administration;Business Administration;Bachelor;Graduate;University of Sharjah;SHARJAH;UAE-Sharjah
31;F;Fall 2010-2011;Business Administration;Business Administration;Bachelor;Graduate;Zayed University;;UAE-Ajman
19;F;Fall 2010-2011;Business Administration;Common Business Program;High School -Commercial;Undergraduate;Al Wahda Private School;;UAE-Sharjah
19;F;Fall 2010-2011;Business Administration;Common Business Program;Secondary School -Literature;Undergraduate;Al Sho'ala Private Sch.;SHARJAH;UAE-Dubai
19;M;Fall 2010-2011;Business Administration;Common Business Program;Secondary School -Scientific;Undergraduate;Al Khaleej Al Arabi Secondary;SHARJAH;Non Citizen
19;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Literature;Undergraduate;Al Dhafra Pvt School;ABU DHABI;Non Citizen
20;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Scientific;Undergraduate;Dubai International Secondary;DUBAI;Non Citizen
19;M;Fall 2010-2011;Business Administration;Common Business Program;Secondary School -Literature;Undergraduate;Model Secondary School;Sharjah;UAE-Sharjah
19;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Scientific;Undergraduate;Dawha School;Sharjah;Non Citizen
24;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Literature;Undergraduate;Middle East Intl School;DOHA;Non Citizen
19;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Scientific;Undergraduate;Sharjah American Intl School;SHARJAH;UAE-Sharjah
19;M;Fall 2010-2011;Business Administration;Common Business Program;High School -Scientific;Undergraduate;Dawha School;Sharjah;Non Citizen
